,PLAYER,DREB%,%DREB,STL%,%BLK
424,Naz Mitrou-Long,0.0,0.0,0.0,0.0
425,Brandon Jennings,13.1,19.3,15.8,20.0
426,Abdel Nader,11.1,14.9,20.0,23.3
427,Emmanuel Mudiay,9.9,14.7,23.8,8.3
428,Ben McLemore,10.1,15.0,21.7,13.5
429,Joffrey Lauvergne,20.7,31.8,9.5,7.0
430,Gary Payton II,14.4,22.1,18.9,10.3
431,Vincent Hunter,16.7,25.0,0.0,100
432,Kadeem Allen,6.7,8.6,17.6,28.6
433,Paul Zipser,14.7,21.5,17.4,25.9
434,JR Smith,9.2,13.5,20.9,6.6
435,Thon Maker,13.0,21.1,16.7,41.7
436,Mangok Mathiang,33.3,38.9,50.0,0.0
437,Bismack Biyombo,20.9,33.3,10.1,52.5
438,Derrick Walton Jr.,9.5,13.5,38.9,30.0
439,Cedi Osman,14.9,21.0,21.8,6.1
440,Cristiano Felicio,15.8,22.0,10.5,18.3
441,Ivan Rabb,21.6,32.7,14.1,28.3
442,Andrew White III,13.3,18.8,12.0,10.0
443,Damien Wilkins,7.2,10.8,9.5,10.0
444,James Michael McAdoo,12.5,16.7,0.0,100
445,Brice Johnson,22.7,32.8,33.3,60.0
446,Terrance Ferguson,3.8,5.7,18.9,12.0
447,James Webb III,13.8,18.8,6.7,0.0
448,Ramon Sessions,8.6,12.7,21.5,8.7
449,Luke Kornet,15.8,24.0,13.3,50.0
450,Isaiah Hicks,11.8,18.5,9.1,16.7
451,Luis Montero,22.2,22.2,0.0,0.0
452,JaVale McGee,16.6,24.6,21.0,49.6
453,Sean Kilpatrick,13.1,18.5,11.9,10.6
454,Juancho Hernangomez,13.9,20.5,13.6,12.5
455,Troy Daniels,6.9,10.5,11.9,3.8
456,Luol Deng,0.0,0.0,50.0,0.0
457,Xavier Rathan-Mayes,5.3,8.5,27.3,27.3
458,Rashad Vaughn,8.5,13.4,16.1,13.0
459,Nick Collison,17.6,25.0,0.0,0.0
460,Jamal Crawford,5.0,7.6,15.9,6.6
461,Cheick Diallo,26.2,39.0,14.3,36.8
462,Darrun Hilliard,8.0,11.1,20.0,0.0
463,Troy Williams,13.7,20.3,40.0,13.8
464,Tristan Thompson,21.0,28.7,11.6,24.6
465,Quincy Pondexter,10.3,14.4,24.2,18.2
466,Tony Bradley,25.0,33.3,0.0,0.0
467,Georges Niang,18.2,23.1,28.6,0.0
468,DeAndre Liggins,10.0,15.6,28.9,17.1
469,Malik Monk,6.9,9.7,16.5,14.1
470,Isaiah Thomas,5.6,8.1,12.2,4.5
471,Zach LaVine,13.8,18.4,23.3,8.9
472,Xavier Silas,12.5,20.0,100,0.0
473,Zhou Qi,11.6,16.8,11.8,77.8
474,Zach Randolph,21.5,30.4,18.1,9.5
475,Daniel Hamilton,16.7,27.8,20.0,0.0
